Country,Region/Zone,lon,lat,Type of Disease,Target Disease,,Year(s),Doi,
Morocco,Morrocco 1.2.2,-5.920904249,34.20679999,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.938071439,34.37699772,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.903737059,34.60339095,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.869402679,34.75867937,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.817901108,34.90663728,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.792150323,34.96293223,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.800733918,34.99106521,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Morocco,Morrocco 1.2.2,-5.800733918,35.0121586,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,-0.925251925,35.60753929,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,-0.968169901,35.45386133,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,-0.908084735,35.3419108,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,-0.770747214,35.15965999,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,-0.702078454,35.06838106,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,-0.616242503,34.96293223,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,-0.530406553,34.91367627,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,-0.496072172,34.89255751,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,3.984564448,34.83621429,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,4.654084862,35.34891226,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,4.800005978,35.96960599,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,4.800005978,36.10842266,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
