Country,Region/Zone,lon,lat,Type of Disease,Target Disease condition,Digitization style,Year(s),Doi/comment,
Algeria,Algeria,6.092145382,33.23944078,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,5.236605582,32.91352085,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,5.521785515,34.05424059,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,6.051405391,34.8690404,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,4.910685658,35.6838402,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,5.07364562,35.2764403,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,4.584765734,34.70608043,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,3.769965925,34.09498058,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,3.40330601,32.75056089,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,3.077386087,32.34316099,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,2.221846287,32.302421,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,1.284826506,32.34316099,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,0.999646572,32.99500083,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,2.588506201,33.28018077,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,2.955166115,34.33942052,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,1.61074643,34.46164049,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,0.184846763,34.58386046,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-0.466993085,34.82830041,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,8.5772848,27.71917207,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,8.740244762,27.1488122,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,8.943944715,27.65806208,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,8.516174815,27.94324202,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,8.271734872,27.43399213,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,8.10877491,26.96548224,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,8.047664924,26.57845233,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,8.129144905,26.76178229,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,8.292104867,26.43586237,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,7.762484991,26.15068243,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
